"age","female","voted_gen_14","voted_gen_12","treat_ind","racename","democrat","therm_trans_t0","therm_trans_t1","therm_trans_t2","therm_trans_t3","therm_trans_t4","therm_obama_t0","therm_obama_t1","therm_obama_t2","therm_obama_t4"
43,0,0,1,1,"African American",0,44,52,52,81,NA,100,100,90,NA
45,1,0,1,1,"African American",1,50,50,50,64,85,100,100,100,100
60,1,1,1,1,"Caucasian",1,100,96,99,94,NA,83,94,77,NA
64,0,1,1,1,"Caucasian",0,50,NA,50,50,NA,61,NA,50,NA
40,1,0,1,0,"African American",1,50,50,NA,NA,NA,83,50,NA,NA
63,1,0,1,0,"Hispanic",0,22,NA,NA,NA,NA,0,NA,NA,NA
62,0,1,1,1,"African American",1,50,NA,NA,NA,NA,93,NA,NA,NA
61,1,1,0,1,"Caucasian",1,50,NA,NA,NA,NA,50,NA,NA,NA
57,0,0,0,1,"Caucasian",0,50,NA,NA,NA,NA,50,NA,NA,NA
61,1,1,1,1,"Caucasian",1,50,NA,NA,NA,NA,50,NA,NA,NA
53,1,1,1,1,"African American",1,50,99,50,50,50,100,100,100,100
72,0,1,1,1,"Hispanic",1,50,NA,NA,NA,NA,81,NA,NA,NA
63,0,0,1,0,"Hispanic",0,38,NA,NA,NA,NA,0,NA,NA,NA
57,0,1,1,0,"Hispanic",0,50,NA,NA,NA,NA,100,NA,NA,NA
32,1,0,1,0,"Hispanic",0,31,NA,NA,NA,NA,80,NA,NA,NA
65,1,1,1,1,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
49,0,1,1,0,"Hispanic",0,100,NA,NA,NA,NA,30,NA,NA,NA
55,0,1,1,0,"Hispanic",0,50,70,NA,59,NA,50,38,NA,NA
58,0,1,1,1,"Caucasian",1,50,NA,NA,NA,NA,72,NA,NA,NA
67,0,1,1,0,"Caucasian",0,100,50,50,50,NA,100,50,100,NA
54,1,1,1,0,"Caucasian",0,96,96,96,96,96,73,80,81,87
52,1,1,1,0,"African American",1,50,70,50,50,50,100,100,100,100
34,0,0,0,1,"African American",0,0,NA,NA,NA,NA,100,NA,NA,NA
22,1,0,0,1,"African American",0,0,NA,NA,NA,NA,91,NA,NA,NA
44,0,1,1,0,"African American",0,1,NA,NA,NA,NA,70,NA,NA,NA
71,1,1,1,1,"Hispanic",1,60,NA,NA,NA,NA,91,NA,NA,NA
74,0,1,1,1,"Hispanic",1,50,NA,NA,NA,NA,81,NA,NA,NA
38,0,1,0,1,"Hispanic",0,100,NA,NA,NA,NA,100,NA,NA,NA
